,Status,Time Consumed,Value,gasPrice,gasLimit,gasUsePercent
0,Success,Confirmed within 30 secs,0.015794491107137418 Ether ($28.03),0.000000156 Ether (156 Gwei),"21,000","21,000 (100%)"
1,Success,Confirmed within 12 mins:22 secs,0.004606 Ether ($8.16),0.000000137000001459 Ether (137.000001459 Gwei),"21,000","21,000 (100%)"
2,Success,Confirmed within 30 secs,0.186532926775532748 Ether ($332.39),0.000000166 Ether (166 Gwei),"21,000","21,000 (100%)"
3,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000219 Ether (219 Gwei),"41,209","41,209 (100%)"
4,Success,Confirmed within 30 secs,0.226658 Ether ($403.89),0.000000166000001459 Ether (166.000001459 Gwei),"21,000","21,000 (100%)"
5,Success,Confirmed within 30 secs,"7.970889 Ether ($14,201.49)",0.000000149 Ether (149 Gwei),"21,000","21,000 (100%)"
6,Success,Confirmed within 30 secs,"20 Ether ($35,633.40)",0.000000149 Ether (149 Gwei),"43,738","43,738 (100%)"
7,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000149 Ether (149 Gwei),"57,680","57,680 (100%)"
8,Success,Confirmed within 30 secs,0.09 Ether ($160.34),0.000000149 Ether (149 Gwei),"35,000","21,000 (60%)"
9,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000149 Ether (149 Gwei),"3,24,248","273,139 (84.24%)"
10,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000149 Ether (149 Gwei),"2,16,690","171,483 (79.14%)"
11,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000149 Ether (149 Gwei),"48,959","44,509 (90.91%)"
12,Success,Confirmed within 30 secs,0.0430106 Ether ($76.62),0.000000149 Ether (149 Gwei),"21,000","21,000 (100%)"
13,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000149 Ether (149 Gwei),"55,283","44,226 (80%)"
14,Success,Confirmed within 30 secs,0.000732000013130999 Ether ($1.30),0.000000149 Ether (149 Gwei),"30,000","21,000 (70%)"
15,Success,Confirmed within 30 secs,0.129130048 Ether ($230.05),0.000000149 Ether (149 Gwei),"1,48,564","109,724 (73.86%)"
16,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000149 Ether (149 Gwei),"2,44,443","196,633 (80.44%)"
17,Success,Confirmed within 30 secs,0.304953705125194789 Ether ($542.85),0.000000149 Ether (149 Gwei),"21,000","21,000 (100%)"
18,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000149 Ether (149 Gwei),"57,729","44,407 (76.92%)"
19,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0000001492 Ether (149.2 Gwei),"3,89,270","246,613 (63.35%)"
20,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00000014966 Ether (149.66 Gwei),"2,42,286","190,582 (78.66%)"
21,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00000015 Ether (150 Gwei),"1,64,731","124,474 (75.56%)"
22,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00000015 Ether (150 Gwei),"53,473","53,473 (100%)"
23,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000152 Ether (152 Gwei),"45,127","45,127 (100%)"
24,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 30 secs,0 Ether ($0.00),0.000000152 Ether (152 Gwei),"1,55,218","29,090 (18.74%)"
25,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000152 Ether (152 Gwei),"2,43,104","230,856 (94.96%)"
26,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000152 Ether (152 Gwei),"71,530","71,530 (100%)"
27,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000152 Ether (152 Gwei),"1,20,816","88,693 (73.41%)"
28,Success,Confirmed within 30 secs,"15 Ether ($26,696.55)",0.000000154 Ether (154 Gwei),"21,000","21,000 (100%)"
29,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000154 Ether (154 Gwei),"48,793","44,358 (90.91%)"
30,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000154 Ether (154 Gwei),"62,193","22,193 (35.68%)"
31,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000155 Ether (155 Gwei),"1,38,781","119,778 (86.31%)"
32,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000155 Ether (155 Gwei),"56,055","37,370 (66.67%)"
33,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000156000001561 Ether (156.000001561 Gwei),"60,000","53,131 (88.55%)"
34,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 30 secs,0 Ether ($0.00),0.000000156200000233 Ether (156.200000233 Gwei),"1,94,854","34,150 (17.53%)"
35,Success,Confirmed within 30 secs,0.126661 Ether ($225.49),0.000000159 Ether (159 Gwei),"21,000","21,000 (100%)"
36,Success,Confirmed within 30 secs,0.12683025 Ether ($225.79),0.000000159 Ether (159 Gwei),"21,000","21,000 (100%)"
37,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000159 Ether (159 Gwei),"99,000","54,713 (55.27%)"
38,Success,Confirmed within 30 secs,0.0903 Ether ($160.76),0.000000163 Ether (163 Gwei),"2,15,820","130,421 (60.43%)"
39,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000163 Ether (163 Gwei),"61,813","41,209 (66.67%)"
40,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 30 secs,0 Ether ($0.00),0.000000163 Ether (163 Gwei),"1,68,462","29,114 (17.28%)"
41,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000163 Ether (163 Gwei),"56,221","56,221 (100%)"
42,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0000001639 Ether (163.9 Gwei),"1,50,000","55,367 (36.91%)"
43,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0000001639 Ether (163.9 Gwei),"1,50,000","57,381 (38.25%)"
44,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0000001639 Ether (163.9 Gwei),"51,370","30,047 (58.49%)"
45,Fail,Confirmed within 30 secs,0 Ether ($0.00),0.0000001639 Ether (163.9 Gwei),"1,44,000","22,945 (15.93%)"
46,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0000001639 Ether (163.9 Gwei),"2,09,749","168,261 (80.22%)"
47,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0000001639 Ether (163.9 Gwei),"1,89,203","173,949 (91.94%)"
48,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0000001639 Ether (163.9 Gwei),"2,50,000","36,002 (14.4%)"
49,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0000001639 Ether (163.9 Gwei),"80,000","26,209 (32.76%)"
50,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000165 Ether (165 Gwei),"86,790","42,381 (48.83%)"
51,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000165 Ether (165 Gwei),"71,393","65,712 (92.04%)"
52,Success,Confirmed within 30 secs,"2.5 Ether ($4,449.53)",0.00000016775818 Ether (167.75818 Gwei),"90,000","21,000 (23.33%)"
53,Success,Confirmed within 30 secs,0 Ether ($0.00),0.000000168 Ether (168 Gwei),"99,125","84,125 (84.87%)"
54,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00000016895 Ether (168.95 Gwei),"1,26,255","50,966 (40.37%)"
